Id;Tipo;Objeto_Pai;Tipo_Objeto_Pai;Descricao_Breve;Ref_Legado_Arquivo;Ref_Legado_Linhas;Desc_Abordagem;Ref_Doc_Abordagem;Ref_Doc_Linhas;Status_Documentacao;Status_Implementacao;Status_Teste_Unitario;Ref_Doc_AsIs;Ref_Doc_AsIs_Linhas
TELA-0101;TELA;RAIZ;SISTEMA;VGFNM010 - Tela alteração dados básicos (liberados);_LEGADO/vgfna.esf;121;Migração de tela 3270 COBOL para API RESTful .NET Core - Endpoint POST /api/alteracao-dados-basicos/consultar-apolice - Controller AlteracaoDadosBasicosController - Validação de entrada com Data Annotations - Retorno padronizado AppResponse<T> - Documentação Swagger/OpenAPI;backend_vgfna/06_API_LAYER.md;48-70;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;39-163
TELA-0102;TELA;RAIZ;SISTEMA;VGFNM020 - Tela alteração dados básicos (subgrupo);_LEGADO/vgfna.esf;288;Migração de tela 3270 COBOL para API RESTful .NET Core - Endpoint PUT /api/alteracao-dados-basicos/alterar-subgrupo - Controller AlteracaoDadosBasicosController - Validação de entrada com Data Annotations - Retorno padronizado AppResponse<T> - Documentação Swagger/OpenAPI;backend_vgfna/06_API_LAYER.md;72-96;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;166-262
TELA-0103;TELA;RAIZ;SISTEMA;VGFNM030 - Tela alteração dados básicos (termo adesão);_LEGADO/vgfna.esf;739;Migração de tela 3270 COBOL para API RESTful .NET Core - Endpoint PUT /api/alteracao-dados-basicos/alterar-termo-adesao - Controller AlteracaoDadosBasicosController - Validação de entrada com Data Annotations - Retorno padronizado AppResponse<T> - Documentação Swagger/OpenAPI;backend_vgfna/06_API_LAYER.md;98-122;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;265-295
TELA-0104;TELA;RAIZ;SISTEMA;VGFNH010 - Tela ajuda VGFNM010;_LEGADO/vgfna.esf;1192;Migração de tela de ajuda 3270 para componente modal React - Componente HelpModal reutilizável - Integração com sistema de roteamento - Acesso via botão de ajuda na interface - Conteúdo dinâmico baseado em contexto;frontend_vgfna/docs/COMPONENTES.md;45-60;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;32
TELA-0105;TELA;RAIZ;SISTEMA;VGFNH020 - Tela ajuda VGFNM020;_LEGADO/vgfna.esf;1270;Migração de tela de ajuda 3270 para componente modal React - Componente HelpModal reutilizável - Integração com sistema de roteamento - Acesso via botão de ajuda na interface - Conteúdo dinâmico baseado em contexto;frontend_vgfna/docs/COMPONENTES.md;45-60;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;33
TELA-0106;TELA;RAIZ;SISTEMA;VGFNH030 - Tela ajuda VGFNM030;_LEGADO/vgfna.esf;1326;Migração de tela de ajuda 3270 para componente modal React - Componente HelpModal reutilizável - Integração com sistema de roteamento - Acesso via botão de ajuda na interface - Conteúdo dinâmico baseado em contexto;frontend_vgfna/docs/COMPONENTES.md;45-60;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;34
OBJ-0101;OBJETO;TELA-0101;TELA;MNUEMP - Menu/Empresa;_LEGADO/vgfna.esf;132;Migrado de campo de tela 3270 para componente Header React TypeScript - Exibição de menu/empresa no cabeçalho da aplicação - Integração com sistema de autenticação - Responsivo e acessível - Estilização com CSS Modules;frontend_vgfna/docs/COMPONENTES.md;120-135;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;111
OBJ-0102;OBJETO;TELA-0101;TELA;DATA - Data do processamento;_LEGADO/vgfna.esf;149;Migrado de campo de tela 3270 para componente DisplayField React TypeScript - Exibição somente leitura de data formatada - Formatação usando dateUtils - Integração com dados do sistema - Estilização consistente com design system;frontend_vgfna/docs/COMPONENTES.md;80-95;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;112
OBJ-0103;OBJETO;TELA-0101;TELA;VERSAO - Versao do sistema;_LEGADO/vgfna.esf;150;Migrado de campo de tela 3270 para componente DisplayField React TypeScript - Exibição somente leitura da versão do sistema - Obtida via API do backend - Atualização automática - Estilização consistente com design system;frontend_vgfna/docs/COMPONENTES.md;80-95;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;113
OBJ-0104;OBJETO;TELA-0101;TELA;NOMSIS - Nome do sistema;_LEGADO/vgfna.esf;171;Migrado de campo de tela 3270 para componente DisplayField React TypeScript - Exibição somente leitura do nome do sistema - Obtida via API do backend - Estilização consistente com design system - Acessibilidade WCAG;frontend_vgfna/docs/COMPONENTES.md;80-95;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;114
